,tweet_id,retweet_count,favorite_count
0,892420643555336193,7234,34638
1,892177421306343426,5418,30020
2,891815181378084864,3579,22601
3,891689557279858688,7435,37893
4,891327558926688256,7991,36173
5,891087950875897856,2680,18243
6,890971913173991426,1726,10621
7,890729181411237888,16274,58294
8,890609185150312448,3725,25132
9,890240255349198849,6288,28643
10,890006608113172480,6329,27683
11,889880896479866881,4301,25165
12,889665388333682689,8603,43129
13,889638837579907072,3845,24251
14,889531135344209921,1938,13663
15,889278841981685760,4586,22637
16,888917238123831296,3866,26217
17,888804989199671297,3650,23007
18,888554962724278272,2966,17756
19,888078434458587136,2989,19604
20,887705289381826560,4663,27263
21,887517139158093824,10132,41708
22,887473957103951883,15480,61718
23,887343217045368832,9083,30277
24,887101392804085760,5140,27622
25,886983233522544640,6559,31188
26,886736880519319552,2731,10756
27,886680336477933568,3853,20228
28,886366144734445568,2717,19010
29,886267009285017600,3,104
30,886258384151887873,5436,25170
31,886054160059072513,96,0
32,885984800019947520,5781,29303
33,885528943205470208,5513,32387
34,885518971528720385,3209,18436
35,885311592912609280,15896,0
36,885167619883638784,3766,19686
37,884925521741709313,15509,69030
38,884876753390489601,4807,25006
39,884562892145688576,4033,21851
40,884441805382717440,4921,24447
41,884247878851493888,17472,65005
42,884162670584377345,2571,18378
43,883838122936631299,2951,19657
44,883482846933004288,8521,41225
45,883360690899218434,3174,20423
46,883117836046086144,5705,33372
47,882992080364220416,3328,21490
48,882762694511734784,4216,25411
49,882627270321602560,5224,25213
50,882268110199369728,9977,40243
51,882045870035918850,4194,26384
52,881906580714921986,2933,21962
53,881666595344535552,9222,45650
54,881633300179243008,8,113
55,881536004380872706,13804,44551
56,881268444196462592,4599,20984
57,880935762899988482,2410,15411
58,880872448815771648,3295,19186
59,880465832366813184,5362,25610
60,880221127280381952,3584,24282
61,880095782870896641,3752,24891
62,879862464715927552,3008,20207
63,879674319642796034,9,283
64,879492040517615616,2723,21203
65,879415818425184262,38525,95214
66,879376492567855104,2713,15198
67,879130579576475649,5901,0
68,879050749262655488,4063,20312
69,879008229531029506,2315,17164
70,878776093423087618,3545,17516
71,878604707211726852,6102,27072
72,878404777348136964,1099,0
73,878316110768087041,5711,0
74,878281511006478336,1099,6965
75,878057613040115712,5901,38010
76,877736472329191424,16321,71126
77,877611172832227328,70,0
78,877556246731214848,3274,20456
79,877316821321428993,4497,24769
80,877201837425926144,4796,24432
81,876838120628539392,2881,18673
82,876537666061221889,4089,21506
83,876484053909872640,2057,16977
84,876120275196170240,4030,25286
85,875747767867523072,3697,22717
86,875144289856114688,4251,19847
87,875097192612077568,5280,24836
88,875021211251597312,4098,23096
89,874680097055178752,4036,25163
90,874434818259525634,12605,0
91,874296783580663808,3594,23585
92,874057562936811520,3476,20615
93,874012996292530176,8855,30873
94,873580283840344065,3423,21956
95,873337748698140672,1372,0
96,873213775632977920,1372,6480
97,872967104147763200,4698,24652
98,872820683541237760,3244,13366
99,872620804844003328,3162,18798
100,872486979161796608,7944,36972
101,872122724285648897,7072,31018
102,871879754684805121,9526,33959
103,871762521631449091,3052,18334
104,871515927908634625,3032,18320
105,871166179821445120,5013,0
106,871102520638267392,4834,19004
107,871032628920680449,3330,20659
108,870804317367881728,5424,30552
109,870726314365509632,3,109
110,870656317836468226,2272,11156
111,870374049280663552,23424,75824
112,870308999962521604,3640,19954
113,870063196459192321,7279,33190
114,869772420881756160,8932,38846
115,869702957897576449,5529,25656
116,869596645499047938,2719,14545
117,869227993411051520,3301,18574
118,868880397819494401,12651,59433
119,868639477480148993,1809,0
120,868622495443632128,4632,24229
121,868552278524837888,1809,9213
122,867900495410671616,3683,22098
123,867774946302451713,6437,30945
124,867421006826221569,2190,14676
125,867072653475098625,106,0
126,867051520902168576,6982,29399
127,866720684873056260,4247,18270
128,866686824827068416,3049,17563
129,866450705531457537,31190,111583
130,866334964761202691,12605,47781
131,866094527597207552,7391,0
132,865718153858494464,4992,23532
133,865359393868664832,4429,24185
134,865006731092295680,6859,25661
135,864873206498414592,7710,29507
136,864279568663928832,2667,13387
137,864197398364647424,7815,27348
138,863907417377173506,3694,18911
139,863553081350529029,3743,14003
140,863471782782697472,2147,0
141,863432100342583297,4686,21860
142,863427515083354112,81,2008
143,863079547188785154,988,8064
144,863062471531167744,2147,7710
145,862831371563274240,4589,17600
146,862722525377298433,3181,15706
147,862457590147678208,4376,18727
148,862096992088072192,20624,67953
149,861383897657036800,9584,33122
150,861288531465048066,3702,15763
151,861005113778896900,3425,15383
152,860981674716409858,1909,0
153,860924035999428608,699,0
154,860563773140209665,1909,6893
155,860524505164394496,4748,21786
156,860276583193509888,3157,17005
157,860184849394610176,5258,15365
158,860177593139703809,27671,0
159,859924526012018688,3689,18090
160,859851578198683649,3167,14295
161,859607811541651456,1395,17230
162,859196978902773760,27104,82614
163,859074603037188101,12310,31189
164,858860390427611136,7312,0
165,858843525470990336,3121,14456
166,858471635011153920,4397,19991
167,858107933456039936,2608,14597
168,857989990357356544,2331,14881
169,857746408056729600,9619,31629
170,857393404942143489,1481,5453
171,857263160327368704,4093,18665
172,857214891891077121,16,207
173,856543823941562368,2622,15224
174,856526610513747968,1712,11104
175,856288084350160898,15,493
176,856282028240666624,5749,25848
177,855862651834028034,22,311
178,855860136149123072,878,4547
179,855857698524602368,1921,11100
180,855851453814013952,16579,42910
181,855818117272018944,4966,24884
182,855459453768019968,7511,27783
183,855245323840757760,5436,0
184,855138241867124737,39,0
185,854732716440526848,5550,21247
186,854482394044301312,6228,27301
187,854365224396361728,4286,17652
188,854120357044912130,6824,29928
189,854010172552949760,2894,15231
190,853760880890318849,5290,26758
191,853639147608842240,9176,32441
192,853299958564483072,3269,14530
193,852936405516943360,1837,0
194,852912242202992640,1661,8472
195,852672615818899456,1997,14027
196,852553447878664193,3219,15305
197,852311364735569921,9156,31155
198,852226086759018497,6294,18794
199,852189679701164033,1465,10823
200,851861385021730816,19,0
201,851591660324737024,3231,15339
202,851464819735769094,6520,22891
203,851224888060895234,5326,19526
204,850753642995093505,8379,28942
205,850380195714523136,2411,12392
206,850333567704068097,306,3273
207,850145622816686080,3506,15407
208,850019790995546112,4520,19275
209,849776966551130114,7042,28700
210,849668094696017920,4604,0
211,849412302885593088,2926,15038
212,849336543269576704,1746,10811
213,849051919805034497,7877,40058
214,848690551926992896,4029,23900
215,848324959059550208,4293,23442
216,848213670039564288,671,7753
217,848212111729840128,2810,15458
218,847978865427394560,3028,0
219,847971574464610304,412,0
220,847962785489326080,4738,22324
221,847842811428974592,1227,5142
222,847617282490613760,384,6643
223,847606175596138505,3186,17829
224,847251039262605312,4044,19487
225,847157206088847362,5418,18853
226,847116187444137987,2969,20401
227,846874817362120707,3660,19097
228,846514051647705089,10755,42275
229,846505985330044928,2862,13423
230,846153765933735936,8453,29938
231,846139713627017216,9445,29526
232,846042936437604353,2669,15208
233,845812042753855489,8116,27800
234,845677943972139009,4513,24019
235,845397057150107648,1666,7278
236,845306882940190720,5034,22201
237,845098359547420673,7160,0
238,844979544864018432,2382,12985
239,844973813909606400,2959,14309
240,844580511645339650,2900,15684
241,844223788422217728,2052,13050
242,843981021012017153,2782,14493
243,843856843873095681,4312,20497
244,843604394117681152,2561,16118
245,843235543001513987,5614,20523
246,842846295480000512,3424,14622
247,842765311967449089,1198,6438
248,842535590457499648,3295,17342
249,842163532590374912,5436,23351
250,842115215311396866,2848,13374
251,841833993020538882,14056,0
252,841680585030541313,7379,24663
253,841439858740625411,3430,12050
254,841320156043304961,5191,18956
255,841314665196081154,4368,15148
256,841077006473256960,5013,21900
257,840761248237133825,1658,0
258,840728873075638272,15078,0
259,840698636975636481,2,170
260,840696689258311684,911,11756
261,840632337062862849,1658,8633
262,840370681858686976,4300,15742
263,840268004936019968,5402,18418
264,839990271299457024,2132,12857
265,839549326359670784,7312,26265
266,839290600511926273,137,0
267,839239871831150596,6125,25909
268,838952994649550848,3778,18843
269,838921590096166913,1928,10675
270,838916489579200512,31,0
271,838831947270979586,10387,0
272,838561493054533637,1260,10527
273,838476387338051585,4480,21543
274,838201503651401729,9487,0
275,838150277551247360,313,1596
276,838085839343206401,1,134
277,838083903487373313,2933,16913
278,837820167694528512,7391,32680
279,837482249356513284,420,3710
280,837471256429613056,2131,12302
281,837110210464448512,2240,15442
282,836989968035819520,2176,12272
283,836753516572119041,4382,18593
284,836677758902222849,2094,12126
285,836648853927522308,522,0
286,836397794269200385,25993,0
287,836380477523124226,2831,14234
288,836260088725786625,4101,20491
289,836001077879255040,4035,18351
290,835685285446955009,7694,0
291,835574547218894849,3409,17114
292,835536468978302976,1592,0
293,835309094223372289,19809,0
294,835297930240217089,2831,15869
295,835264098648616962,1592,7431
296,835246439529840640,67,2024
297,835172783151792128,5452,25188
298,835152434251116546,2844,21504
299,834931633769889797,1530,10380
300,834786237630337024,5255,20679
301,834574053763584002,2383,13140
302,834477809192075265,10098,0
303,834458053273591808,1589,9262
304,834209720923721728,4487,19772
305,834167344700198914,3480,15234
306,834089966724603904,2031,9659
307,834086379323871233,2094,12560
308,833863086058651648,2282,12943
309,833826103416520705,3580,17493
310,833732339549220864,210,0
